claimId,customerId,closed,monthsOpen
1,140,false,8
2,310,true,11
3,353,true,4
4,498,false,9
5,106,false,6
6,266,false,6
7,72,true,9
8,102,true,12
9,161,false,10
10,199,false,1
11,145,true,1
12,238,true,2
13,463,true,8
14,234,true,12
15,348,true,6
16,328,false,3
17,435,true,10
18,85,true,3
19,171,false,10
20,481,false,6
21,106,false,7
22,475,false,7
23,263,false,9
24,230,true,8
25,345,false,9
26,424,false,9
27,125,true,9
28,42,true,3
29,384,false,8
30,453,true,1
31,218,false,12
32,23,false,7
33,98,false,8
34,324,false,9
35,175,true,4
36,76,false,9
37,342,false,10
38,9,false,8
39,246,true,7
40,44,false,10
41,54,true,3
42,34,false,6
43,399,true,7
44,394,false,8
45,462,false,2
46,6,false,4
47,68,false,8
48,308,false,12
49,174,true,9
50,222,false,1
51,161,false,7
52,109,false,4
53,216,true,2
54,373,false,2
55,39,false,5
56,153,true,2
57,185,true,12
58,396,true,9
59,43,true,4
60,131,true,9
61,492,true,12
62,304,false,3
63,387,false,7
64,401,true,9
65,326,false,10
66,294,true,5
67,470,false,2
68,163,true,7
69,289,true,12
70,367,true,9
71,312,true,10
72,440,false,8
73,499,false,12
74,43,true,5
75,156,true,4
76,3,true,3
77,60,false,10
78,30,true,10
79,173,true,7
80,215,false,6
81,281,false,10
82,340,true,7
83,412,true,2
84,331,true,8
85,54,false,1
86,18,false,5
87,269,false,2
88,332,false,4
89,465,true,12
90,86,false,5
91,58,false,4
92,183,true,11
93,494,true,5
94,108,true,12
95,329,true,1
96,141,false,3
97,276,false,12
98,353,false,4
99,373,true,3
100,103,true,9
101,312,true,3
102,415,true,5
103,409,true,6
104,155,true,7
105,120,false,7
106,217,true,3
107,361,true,12
108,54,true,6
109,266,true,7
110,440,true,1
111,407,true,3
112,445,true,2
113,263,true,4
114,168,true,1
115,469,true,9
116,406,true,1
117,429,true,9
118,168,true,9
119,109,true,7
120,32,false,5
121,365,false,12
122,73,false,5
123,267,false,3
124,499,true,4
125,5,true,9
126,277,true,9
127,97,false,4
128,483,false,10
129,330,false,10
130,177,false,4
131,134,true,6
132,97,true,11
133,166,true,2
134,6,true,8
135,42,false,7
136,477,true,11
137,217,false,10
138,258,true,5
139,148,true,3
140,454,false,7
141,120,true,6
142,364,true,1
143,461,true,5
144,205,true,6
145,21,false,2
146,31,true,5
147,110,false,7
148,57,true,5
149,162,false,10
150,472,true,1
151,371,false,9
152,213,false,7
153,56,true,2
154,161,true,3
155,205,false,11
156,85,false,3
157,120,false,1
158,203,false,4
159,131,true,1
160,307,false,1
161,351,false,3
162,178,true,7
163,7,true,5
164,457,false,4
165,376,true,9
166,50,true,1
167,429,true,7
168,334,false,9
169,327,true,10
170,11,true,11
171,32,false,11
172,319,false,5
173,6,true,1
174,439,true,9
175,45,true,11
176,257,true,1
177,186,true,6
178,251,false,4
179,377,true,10
180,11,false,8
181,228,true,10
182,304,false,6
183,416,false,10
184,336,false,9
185,430,false,8
186,442,false,5
187,414,true,12
188,271,true,5
189,462,false,3
190,121,true,6
191,192,true,8
192,273,true,5
193,196,false,6
194,197,false,6
195,404,true,5
196,491,true,7
197,8,false,1
198,72,true,4
199,107,false,3
200,140,true,2
201,133,true,7
202,231,true,9
203,187,false,12
204,271,false,8
205,135,true,1
206,416,true,3
207,362,false,3
208,71,false,9
209,169,false,6
210,257,false,3
211,1,false,6
212,413,false,12
213,378,false,4
214,320,true,4
215,114,true,3
216,331,false,1
217,464,true,1
218,113,true,3
219,275,true,2
220,136,true,10
221,338,true,10
222,409,true,9
223,300,false,6
224,208,false,11
225,353,true,12
226,298,true,9
227,186,true,11
228,265,false,4
229,309,true,1
230,465,true,12
231,494,true,4
232,374,false,1
233,277,true,10
234,44,true,6
235,370,true,3
236,71,true,10
237,462,false,8
238,384,true,4
239,449,true,11
240,168,true,11
241,500,false,6
242,118,false,3
243,241,false,2
244,72,false,3
245,378,false,8
246,41,true,5
247,420,true,2
248,392,true,12
249,105,false,7
250,30,true,12
251,457,true,5
252,254,false,7
253,289,true,3
254,369,true,8
255,90,false,12
256,12,true,12
257,340,true,1
258,184,false,3
259,308,false,1
260,85,false,8
261,479,true,1
262,33,false,6
263,273,false,6
264,476,false,1
265,93,false,4
266,247,true,4
267,155,false,7
268,239,true,8
269,285,false,10
270,449,true,5
271,251,true,4
272,6,false,8
273,494,true,4
274,329,true,5
275,45,false,11
276,167,false,8
277,468,false,11
278,280,true,10
279,63,true,11
280,7,true,11
281,142,false,2
282,86,true,4
283,340,true,12
284,107,true,7
285,162,false,7
286,447,false,8
287,377,true,4
288,302,false,5
289,331,true,10
290,294,true,12
291,174,false,7
292,323,false,1
293,176,true,6
294,498,false,8
295,136,true,5
296,274,true,7
297,474,true,5
298,331,false,1
299,438,true,4
300,373,true,3
301,258,false,11
302,218,true,6
303,7,true,6
304,4,true,12
305,119,true,8
306,485,true,12
307,80,true,6
308,98,true,9
309,319,false,2
310,243,true,4
311,460,false,1
312,414,false,8
313,317,false,7
314,266,false,12
315,422,true,3
316,327,true,7
317,395,false,1
318,475,true,1
319,96,true,1
320,44,true,4
321,128,true,7
322,279,true,1
323,53,true,10
324,64,false,11
325,105,true,8
326,224,true,3
327,21,true,2
328,10,false,7
329,174,true,10
330,55,false,1
331,232,false,2
332,109,false,12
333,232,false,5
334,2,false,11
335,178,false,2
336,298,false,11
337,210,false,5
338,176,false,4
339,6,true,1
340,193,true,1
341,276,false,12
342,178,true,5
343,340,false,4
344,451,true,6
345,389,true,8
346,343,false,12
347,271,false,8
348,192,false,5
349,121,true,5
350,317,false,2
351,151,true,6
352,92,false,2
353,379,true,10
354,75,false,3
355,337,true,9
356,171,false,3
357,81,false,8
358,164,true,8
359,109,false,11
360,10,false,2
361,338,false,3
362,415,true,3
363,52,true,7
364,440,false,7
365,478,false,7
366,467,true,5
367,447,false,2
368,180,false,6
369,171,false,7
370,20,true,3
371,153,false,12
372,141,false,5
373,338,false,2
374,231,true,6
375,133,false,1
376,472,true,10
377,160,false,12
378,69,false,10
379,119,false,9
380,123,true,1
381,132,false,12
382,160,false,1
383,195,false,2
384,237,true,4
385,312,false,9
386,114,false,8
387,442,false,6
388,300,true,8
389,91,true,10
390,252,true,3
391,256,true,3
392,276,true,2
393,29,false,7
394,359,false,8
395,328,false,12
396,167,true,2
397,487,false,4
398,237,false,12
399,470,true,2
400,251,true,5
401,256,false,12
402,423,true,11
403,440,false,7
404,184,false,5
405,249,true,1
406,424,true,8
407,241,true,12
408,284,true,1
409,52,true,12
410,385,true,12
411,414,true,8
412,94,false,7
413,249,true,5
414,126,false,9
415,455,false,8
416,104,false,1
417,316,true,11
418,440,false,9
419,261,false,9
420,12,false,6
421,266,false,8
422,183,false,4
423,96,true,12
424,60,false,6
425,145,false,5
426,406,false,1
427,120,false,4
428,241,true,11
429,197,false,11
430,402,true,12
431,207,false,12
432,201,false,3
433,58,false,9
434,314,false,11
435,134,true,7
436,198,false,8
437,421,false,4
438,426,true,8
439,147,true,2
440,323,false,6
441,193,true,5
442,65,false,10
443,181,true,5
444,162,false,8
445,237,true,2
446,196,true,1
447,319,true,6
448,41,false,7
449,36,false,10
450,95,false,7
451,270,false,7
452,133,true,9
453,88,false,8
454,112,false,11
455,255,true,9
456,130,false,12
457,96,true,5
458,500,false,4
459,177,false,2
460,120,false,9
461,491,true,2
462,145,true,6
463,76,false,9
464,499,true,1
465,188,false,8
466,75,false,6
467,88,false,6
468,462,true,5
469,133,true,8
470,281,false,9
471,403,false,6
472,112,true,12
473,333,false,1
474,333,false,2
475,479,true,1
476,294,false,2
477,270,false,4
478,110,true,11
479,179,false,10
480,489,true,8
481,362,true,2
